-14.00	0.00	0.00	-0.04	0.00	-0.32
-14.00	0.00	0.25	-0.06	0.00	-0.32
-14.00	0.00	0.50	-0.07	0.00	-0.32
-14.00	0.00	0.75	-0.09	0.00	-0.31
-14.00	0.00	1.00	-0.11	0.00	-0.31
-14.00	0.00	1.25	-0.13	0.00	-0.31
-14.00	0.00	1.50	-0.15	-0.00	-0.31
-14.00	0.00	1.75	-0.17	-0.00	-0.31
-14.00	0.00	2.00	-0.19	0.00	-0.30
-14.00	0.00	2.25	-0.21	0.00	-0.30
-14.00	0.00	2.50	-0.24	-0.00	-0.29
-14.00	0.00	2.75	-0.26	-0.00	-0.28
-14.00	0.00	3.00	-0.28	-0.00	-0.27
-14.00	0.00	3.25	-0.31	-0.00	-0.26
-14.00	0.00	3.50	-0.33	-0.00	-0.24
-14.00	0.00	3.75	-0.35	-0.00	-0.22
-14.00	0.00	4.00	-0.38	0.00	-0.20
-14.00	0.00	4.25	-0.42	-0.00	-0.17
-14.00	0.00	4.50	-0.43	0.00	-0.15
-14.00	0.00	4.75	-0.45	0.00	-0.10
-14.00	0.00	5.00	-0.47	0.00	-0.04
-14.00	0.00	5.25	-0.45	-0.01	0.02
-14.00	0.00	5.50	-0.40	0.01	0.08
-14.00	0.00	5.75	-0.33	0.00	0.09
-14.00	0.00	6.00	-0.28	0.00	0.05
-14.00	0.00	6.25	-0.25	0.00	0.01
-14.00	0.00	6.50	-0.28	0.01	-0.05
-14.00	0.00	6.75	-0.34	0.00	-0.07
-14.00	0.00	7.00	-0.41	-0.00	-0.07
-14.00	0.00	7.25	-0.46	-0.01	-0.02
-14.00	0.00	7.50	-0.52	-0.00	0.06
-14.00	0.00	7.75	-0.53	-0.01	0.15
-14.00	0.00	8.00	-0.51	-0.00	0.22
-14.00	0.00	8.25	-0.44	-0.00	0.29
-14.00	0.00	8.50	-0.39	-0.00	0.33
-14.00	0.00	8.75	-0.33	-0.00	0.36
-14.00	0.00	9.00	-0.27	-0.00	0.37
-14.00	0.00	9.25	-0.22	-0.00	0.37
-14.00	0.00	9.50	-0.18	-0.00	0.37
-14.00	0.00	9.75	-0.14	-0.00	0.36
-14.00	0.00	10.00	-0.10	-0.00	0.36
-14.00	0.00	10.25	-0.07	0.00	0.34
-14.00	0.00	10.50	-0.04	-0.00	0.33
-14.00	0.00	10.75	-0.02	-0.00	0.32
-14.00	0.00	11.00	0.01	-0.00	0.30
-14.00	0.00	11.25	0.03	-0.00	0.30
-14.00	0.00	11.50	0.05	-0.00	0.28
-14.00	0.00	11.75	0.06	-0.00	0.26
-14.00	0.00	12.00	0.08	-0.00	0.25
-14.00	0.00	12.25	0.09	-0.00	0.23
-14.00	0.00	12.50	0.10	-0.00	0.22
-14.00	0.00	12.75	0.11	0.00	0.20
-14.00	0.00	13.00	0.12	0.00	0.19
-14.00	0.00	13.25	0.13	-0.00	0.18
-14.00	0.00	13.50	0.13	0.00	0.16
-14.00	0.00	13.75	0.14	-0.00	0.15
-14.00	0.00	14.00	0.14	-0.00	0.14
-14.00	0.00	14.25	0.14	0.00	0.13
-14.00	0.00	14.50	0.14	-0.00	0.12
-14.00	0.00	14.75	0.14	-0.00	0.11
-14.00	0.00	15.00	0.14	-0.00	0.10
-14.00	0.00	15.25	0.14	-0.00	0.09
-14.00	0.00	15.50	0.14	-0.00	0.08
-14.00	0.00	15.75	0.14	-0.00	0.07
-14.00	0.00	16.00	0.14	0.00	0.06
-14.00	0.00	16.25	0.14	0.00	0.06
-14.00	0.00	16.50	0.14	0.00	0.05
-14.00	0.00	16.75	0.13	0.00	0.04
-14.00	0.00	17.00	0.13	-0.00	0.04
-14.00	0.00	17.25	0.13	-0.00	0.03
-14.00	0.00	17.50	0.13	0.00	0.03
-14.00	0.00	17.75	0.12	0.00	0.02
-14.00	0.00	18.00	0.12	0.00	0.02
-14.00	0.00	18.25	0.12	-0.00	0.02
-14.00	0.00	18.50	0.11	-0.00	0.01
-14.00	0.00	18.75	0.11	-0.00	0.01
-14.00	0.00	19.00	0.11	0.00	0.01
-14.00	0.00	19.25	0.11	0.00	0.00
-14.00	0.00	19.50	0.10	0.00	0.00
-14.00	0.00	19.75	0.10	-0.00	-0.00
-14.00	0.00	20.00	0.10	-0.00	-0.00
-14.00	0.00	20.25	0.09	-0.00	-0.00
-14.00	0.00	20.50	0.09	-0.00	-0.01
-14.00	0.00	20.75	0.09	0.00	-0.01
-14.00	0.00	21.00	0.09	-0.00	-0.01
-14.00	0.00	21.25	0.08	-0.00	-0.01
-14.00	0.00	21.50	0.08	-0.00	-0.01
-14.00	0.00	21.75	0.08	-0.00	-0.01
-14.00	0.00	22.00	0.08	-0.00	-0.01
-14.00	0.00	22.25	0.07	0.00	-0.02
